date,sessions,duration,opens,engage,views,clicks
2015-03-22-19-30,11173,148.00,17.01,0.87,1.03,0.82
2015-03-22-20-00,10794,145.00,16.60,0.84,1.04,0.81
2015-03-22-20-30,10723,146.00,16.95,0.89,1.04,0.82
2015-03-22-21-00,10156,147.00,17.12,0.87,1.03,0.81
2015-03-22-21-30,9498,153.00,17.97,0.91,1.06,0.83
2015-03-22-22-00,8766,154.00,17.36,0.95,1.04,0.82
2015-03-22-22-30,8153,155.00,17.74,0.97,1.05,0.82
2015-03-22-23-00,7126,158.00,18.12,0.98,1.06,0.81
2015-03-22-23-30,6045,158.00,18.84,1.05,1.05,0.83
2015-03-23-00-00,5783,148.00,17.25,0.87,1.00,0.76
2015-03-23-00-30,4857,150.00,17.34,0.86,1.01,0.76
2015-03-23-01-00,3998,144.00,16.32,0.98,0.99,0.74
2015-03-23-01-30,3321,145.00,16.38,0.98,0.96,0.72
2015-03-23-02-00,2657,151.00,16.73,0.98,0.99,0.74
2015-03-23-02-30,2162,151.00,17.18,0.89,0.96,0.74
2015-03-23-03-00,1869,139.00,16.15,0.95,0.97,0.76
2015-03-23-03-30,1471,151.00,17.18,0.96,0.98,0.76
2015-03-23-04-00,1411,144.00,16.37,0.85,0.98,0.75
2015-03-23-04-30,1283,135.00,16.43,0.87,1.01,0.75
2015-03-23-05-00,1467,137.00,15.88,0.80,1.05,0.76
2015-03-23-05-30,1707,134.00,16.26,0.80,1.00,0.75
2015-03-23-06-00,2208,131.00,15.20,0.88,1.05,0.76
2015-03-23-06-30,3125,117.00,14.46,0.74,1.03,0.75
2015-03-23-07-00,4071,117.00,14.37,0.71,1.02,0.76
2015-03-23-07-30,5285,118.00,14.47,0.71,1.03,0.76
2015-03-23-08-00,6972,118.00,14.10,0.75,1.03,0.78
2015-03-23-08-30,8372,126.00,13.96,0.75,1.03,0.77
2015-03-23-09-00,9919,121.00,13.30,0.75,1.02,0.75
2015-03-23-09-30,10823,130.00,13.98,0.80,1.03,0.77
2015-03-23-10-00,11231,133.00,14.29,0.82,1.06,0.78
2015-03-23-10-30,11534,130.00,13.63,0.84,1.03,0.77
2015-03-23-11-00,12001,134.00,14.30,0.83,1.06,0.80
2015-03-23-11-30,12534,135.00,14.18,0.88,1.05,0.78
2015-03-23-12-00,11883,139.00,14.72,0.83,1.05,0.80
2015-03-23-12-30,11834,138.00,14.68,0.84,1.07,0.81
2015-03-23-13-00,11413,145.00,15.17,0.87,1.05,0.80
2015-03-23-13-30,11193,145.00,15.12,0.88,1.06,0.81
2015-03-23-14-00,10819,135.00,14.66,0.83,1.07,0.80
2015-03-23-14-30,10856,138.00,15.38,0.85,1.07,0.80
2015-03-23-15-00,10614,137.00,14.84,0.82,1.09,0.80
2015-03-23-15-30,10729,143.00,15.31,0.86,1.09,0.80
2015-03-23-16-00,10468,135.00,14.85,0.85,1.07,0.79
2015-03-23-16-30,10221,138.00,15.09,0.83,1.07,0.79
2015-03-23-17-00,9678,133.00,15.29,0.79,1.08,0.80
2015-03-23-17-30,9152,140.00,15.42,0.83,1.09,0.81
2015-03-23-18-00,8758,140.00,15.52,0.85,1.09,0.82
2015-03-23-18-30,8476,143.00,15.74,0.87,1.10,0.82
2015-03-23-19-00,8085,146.00,15.99,0.87,1.08,0.82
2015-03-23-19-30,8091,147.00,16.10,0.88,1.06,0.80
2015-03-23-20-00,7659,142.00,15.51,0.80,1.06,0.80
2015-03-23-20-30,7619,148.00,16.48,0.91,1.07,0.80
2015-03-23-21-00,7341,146.00,16.60,0.84,1.06,0.79
2015-03-23-21-30,7079,146.00,16.01,0.84,1.05,0.80
2015-03-23-22-00,6407,144.00,16.61,0.87,1.05,0.79
2015-03-23-22-30,6023,145.00,16.44,0.95,1.06,0.79
2015-03-23-23-00,5257,144.00,16.45,0.94,1.02,0.77
2015-03-23-23-30,4665,147.00,16.90,0.95,1.07,0.79
2015-03-24-00-00,4139,151.00,17.69,1.00,1.08,0.81
2015-03-24-00-30,3732,147.00,16.24,1.03,1.04,0.75
2015-03-24-01-00,3143,143.00,16.44,0.92,1.00,0.74
2015-03-24-01-30,2596,140.00,16.23,0.87,1.01,0.76
2015-03-24-02-00,2138,142.00,15.42,0.89,1.05,0.76
2015-03-24-02-30,1837,150.00,16.18,0.96,1.00,0.72
2015-03-24-03-00,1468,143.00,15.59,0.97,0.99,0.76
2015-03-24-03-30,1181,152.00,16.95,1.04,0.99,0.76
2015-03-24-04-00,1108,148.00,17.34,0.97,1.05,0.77
2015-03-24-04-30,1150,145.00,16.57,0.87,1.03,0.75
2015-03-24-05-00,1166,135.00,15.12,0.77,1.07,0.74
2015-03-24-05-30,1328,140.00,16.02,1.01,1.09,0.75
2015-03-24-06-00,1919,139.00,15.19,0.83,1.06,0.74
2015-03-24-06-30,2547,135.00,15.67,0.86,1.05,0.77
2015-03-24-07-00,3433,133.00,15.22,0.79,1.06,0.78
2015-03-24-07-30,4528,131.00,14.93,0.85,1.06,0.78
2015-03-24-08-00,5813,127.00,13.89,0.73,1.05,0.76
2015-03-24-08-30,6921,133.00,14.65,0.74,1.04,0.76
2015-03-24-09-00,8062,133.00,14.19,0.76,1.05,0.77
2015-03-24-09-30,9060,133.00,14.52,0.78,1.06,0.77
2015-03-24-10-00,9681,137.00,14.27,0.80,1.06,0.77
2015-03-24-10-30,10874,136.00,14.73,0.79,1.10,0.83
2015-03-24-11-00,11296,138.00,14.34,0.78,1.10,0.81
2015-03-24-11-30,11366,142.00,14.62,0.81,1.09,0.80
2015-03-24-12-00,11043,141.00,15.30,0.85,1.12,0.83
2015-03-24-12-30,11000,144.00,15.48,0.87,1.11,0.82
2015-03-24-13-00,10478,148.00,15.56,0.87,1.12,0.83
2015-03-24-13-30,10189,148.00,15.81,0.89,1.12,0.84
2015-03-24-14-00,9980,142.00,15.28,0.83,1.10,0.82
2015-03-24-14-30,10026,141.00,15.24,0.84,1.09,0.82
2015-03-24-15-00,9622,146.00,15.87,0.84,1.13,0.83
2015-03-24-15-30,9704,143.00,15.72,0.83,1.09,0.81
2015-03-24-16-00,9564,141.00,15.55,0.83,1.11,0.82
2015-03-24-16-30,9380,143.00,15.99,0.82,1.12,0.82
2015-03-24-17-00,8729,140.00,15.62,0.79,1.13,0.83
2015-03-24-17-30,8430,141.00,15.99,0.86,1.11,0.82
2015-03-24-18-00,8164,141.00,16.10,0.87,1.11,0.82
2015-03-24-18-30,8143,146.00,16.52,0.88,1.11,0.84
2015-03-24-19-00,9037,147.00,16.36,0.88,1.09,0.83
2015-03-24-19-30,9437,147.00,16.95,0.82,1.10,0.84
2015-03-24-20-00,8757,154.00,17.39,0.86,1.07,0.82
2015-03-24-20-30,8958,152.00,16.65,0.84,1.06,0.80
2015-03-24-21-00,8702,151.00,16.81,0.91,1.06,0.80
2015-03-24-21-30,8030,155.00,17.28,0.99,1.07,0.82
2015-03-24-22-00,7363,150.00,16.85,0.92,1.07,0.81
2015-03-24-22-30,6900,151.00,17.22,0.96,1.08,0.81
2015-03-24-23-00,6080,148.00,17.06,0.95,1.08,0.79
2015-03-24-23-30,5447,155.00,17.21,1.01,1.09,0.79
2015-03-25-00-00,5755,169.00,18.14,0.97,1.13,0.82
2015-03-25-00-30,5218,164.00,17.04,0.89,1.07,0.77
2015-03-25-01-00,4453,165.00,17.20,0.91,1.09,0.78
2015-03-25-01-30,3646,165.00,17.73,1.01,1.07,0.78
2015-03-25-02-00,2897,168.00,17.91,0.96,1.12,0.78
2015-03-25-02-30,2453,180.00,17.70,0.95,1.15,0.78
2015-03-25-03-00,2095,173.00,19.00,0.95,1.10,0.80
2015-03-25-03-30,1761,189.00,19.61,1.18,1.11,0.81
2015-03-25-04-00,1702,172.00,17.65,0.96,1.05,0.80
2015-03-25-04-30,1734,177.00,19.62,0.89,1.08,0.85
2015-03-25-05-00,2036,182.00,18.64,0.97,1.08,0.83
2015-03-25-05-30,2714,172.00,18.17,0.99,1.17,0.83
2015-03-25-06-00,3477,173.00,17.87,0.91,1.10,0.86
2015-03-25-06-30,4709,173.00,18.22,0.92,1.10,0.84
2015-03-25-07-00,6013,167.00,17.78,0.93,1.12,0.85
2015-03-25-07-30,7964,172.00,17.79,0.79,1.11,0.86
2015-03-25-08-00,10022,174.00,17.46,0.91,1.09,0.83
2015-03-25-08-30,12074,173.00,17.44,0.87,1.08,0.83
2015-03-25-09-00,13723,171.00,17.06,0.90,1.07,0.83
2015-03-25-09-30,14215,176.00,17.17,0.92,1.08,0.82
2015-03-25-10-00,18094,173.00,17.45,0.93,1.10,0.86
2015-03-25-10-30,18291,183.00,17.95,1.05,1.09,0.84
2015-03-25-11-00,20038,179.00,17.84,0.99,1.10,0.85
2015-03-25-11-30,19598,184.00,18.20,1.03,1.10,0.84
2015-03-25-12-00,19840,179.00,17.96,1.04,1.10,0.84
2015-03-25-12-30,18595,176.00,17.83,1.06,1.11,0.84
2015-03-25-13-00,17984,173.00,17.69,0.99,1.10,0.83
2015-03-25-13-30,16907,173.00,17.67,0.97,1.11,0.83
2015-03-25-14-00,15696,167.00,16.95,1.01,1.10,0.82
2015-03-25-14-30,14781,168.00,17.05,0.95,1.10,0.82
2015-03-25-15-00,14367,167.00,16.90,1.00,1.10,0.82
2015-03-25-15-30,13774,165.00,17.05,0.95,1.12,0.83
2015-03-25-16-00,13218,161.00,16.99,0.95,1.11,0.81
2015-03-25-16-30,12741,159.00,16.98,0.92,1.10,0.83
2015-03-25-17-00,11786,159.00,16.95,0.90,1.10,0.83
2015-03-25-17-30,11411,157.00,17.10,0.88,1.10,0.83
2015-03-25-18-00,10818,154.00,17.20,0.89,1.11,0.84
2015-03-25-18-30,10625,159.00,17.23,0.97,1.11,0.83
2015-03-25-19-00,10419,152.00,16.85,0.85,1.10,0.82
2015-03-25-19-30,10403,155.00,17.09,0.90,1.10,0.83
2015-03-25-20-00,9764,158.00,17.16,0.91,1.09,0.82
2015-03-25-20-30,9764,157.00,17.15,0.94,1.10,0.83
2015-03-25-21-00,9380,158.00,17.43,0.89,1.09,0.81
2015-03-25-21-30,9193,161.00,17.61,0.93,1.11,0.83
2015-03-25-22-00,8277,165.00,17.43,1.00,1.10,0.83
2015-03-25-22-30,7678,160.00,17.97,1.01,1.11,0.83
2015-03-25-23-00,6486,159.00,17.65,1.02,1.10,0.82
2015-03-25-23-30,5552,163.00,17.98,1.07,1.10,0.82
2015-03-26-00-00,5507,162.00,18.44,1.06,1.10,0.83
2015-03-26-00-30,4789,169.00,18.68,1.15,1.11,0.83
2015-03-26-01-00,3927,159.00,17.73,0.99,1.08,0.80
2015-03-26-01-30,3276,159.00,17.85,1.02,1.10,0.79
2015-03-26-02-00,2706,160.00,17.15,1.04,1.09,0.78
2015-03-26-02-30,2129,163.00,17.42,1.08,1.09,0.81
2015-03-26-03-00,1849,163.00,18.15,1.05,1.12,0.82
2015-03-26-03-30,1580,165.00,18.35,1.23,1.09,0.83
2015-03-26-04-00,1475,163.00,18.63,1.08,1.11,0.81
2015-03-26-04-30,1496,161.00,19.37,1.01,1.14,0.84
2015-03-26-05-00,1741,150.00,17.12,0.90,1.11,0.83
2015-03-26-05-30,2125,148.00,16.58,1.00,1.10,0.81
2015-03-26-06-00,2808,147.00,17.16,0.90,1.13,0.85
2015-03-26-06-30,3783,145.00,16.94,0.97,1.13,0.88
2015-03-26-07-00,5010,147.00,16.96,0.90,1.13,0.86
2015-03-26-07-30,6733,145.00,16.88,0.94,1.14,0.86
2015-03-26-08-00,8434,147.00,16.29,0.90,1.11,0.83
2015-03-26-08-30,10021,157.00,16.23,0.92,1.13,0.85
2015-03-26-09-00,11608,157.00,16.24,0.94,1.10,0.82
2015-03-26-09-30,12707,156.00,16.30,0.91,1.11,0.84
2015-03-26-10-00,13201,163.00,17.02,0.95,1.15,0.87
2015-03-26-10-30,14096,163.00,16.84,0.95,1.11,0.84
2015-03-26-11-00,14086,158.00,16.35,0.98,1.13,0.83
2015-03-26-11-30,14648,154.00,16.17,0.91,1.14,0.85
2015-03-26-12-00,15725,157.00,16.76,0.89,1.18,0.90
2015-03-26-12-30,15521,158.00,16.62,0.87,1.17,0.88
2015-03-26-13-00,14818,160.00,16.75,0.91,1.17,0.87
2015-03-26-13-30,14061,154.00,16.55,0.85,1.18,0.88
2015-03-26-14-00,13284,153.00,16.39,0.88,1.17,0.86
2015-03-26-14-30,13010,155.00,16.41,0.91,1.16,0.84
2015-03-26-15-00,14212,154.00,16.67,0.96,1.22,0.93
2015-03-26-15-30,13524,156.00,16.82,0.96,1.19,0.89
2015-03-26-16-00,13911,140.00,15.01,0.87,1.15,0.81
2015-03-26-16-30,13085,138.00,15.32,0.90,1.13,0.81
2015-03-26-17-00,12116,144.00,15.94,0.99,1.14,0.86
2015-03-26-17-30,11544,145.00,16.16,0.98,1.13,0.87
2015-03-26-18-00,10971,150.00,16.50,0.98,1.15,0.87
2015-03-26-18-30,10775,158.00,17.34,0.97,1.16,0.88
2015-03-26-19-00,10222,158.00,17.23,0.98,1.15,0.88
2015-03-26-19-30,10065,158.00,17.49,0.97,1.17,0.89
2015-03-26-20-00,9795,161.00,17.89,1.01,1.19,0.90
2015-03-26-20-30,10036,162.00,18.05,1.05,1.16,0.90
2015-03-26-21-00,9717,162.00,17.95,1.01,1.18,0.89
2015-03-26-21-30,9043,170.00,18.49,1.04,1.19,0.89
2015-03-26-22-00,8405,164.00,18.23,1.13,1.18,0.89
2015-03-26-22-30,7833,171.00,19.80,1.14,1.18,0.89
2015-03-26-23-00,7087,163.00,18.61,1.00,1.15,0.89
2015-03-26-23-30,6067,164.00,19.33,1.03,1.17,0.89
2015-03-27-00-00,5639,169.00,19.48,1.15,1.18,0.88
2015-03-27-00-30,4791,175.00,20.43,1.18,1.18,0.90
2015-03-27-01-00,3978,175.00,19.51,1.18,1.18,0.86
2015-03-27-01-30,3296,175.00,20.41,1.25,1.18,0.91
2015-03-27-02-00,2759,177.00,20.33,1.25,1.21,0.89
2015-03-27-02-30,2242,188.00,20.94,1.34,1.19,0.87
2015-03-27-03-00,2075,187.00,21.41,1.37,1.21,0.93
2015-03-27-03-30,1692,188.00,21.83,1.30,1.19,0.92
2015-03-27-04-00,1633,182.00,21.20,1.13,1.17,0.90
2015-03-27-04-30,1762,196.00,22.58,1.35,1.19,0.90
2015-03-27-05-00,2075,181.00,21.80,1.19,1.12,0.89
2015-03-27-05-30,2514,176.00,22.05,1.07,1.14,0.87
2015-03-27-06-00,3576,165.00,20.44,1.16,1.14,0.89
2015-03-27-06-30,5992,154.00,19.41,1.07,1.13,0.95
2015-03-27-07-00,9459,148.00,18.82,1.08,1.12,0.95
2015-03-27-07-30,13656,145.00,17.69,1.07,1.09,0.95
2015-03-27-08-00,17666,149.00,17.47,1.12,1.10,0.95
2015-03-27-08-30,19801,153.00,17.38,1.14,1.11,0.94
2015-03-27-09-00,21454,154.00,16.95,1.27,1.12,0.92
2015-03-27-09-30,22182,156.00,17.03,1.13,1.11,0.91
2015-03-27-10-00,22157,159.00,16.97,1.09,1.11,0.90
2015-03-27-10-30,22322,159.00,17.28,1.14,1.13,0.90
2015-03-27-11-00,21478,158.00,17.33,1.17,1.11,0.89
2015-03-27-11-30,20967,158.00,17.05,1.13,1.12,0.88
2015-03-27-12-00,20362,155.00,16.79,1.09,1.12,0.88
2015-03-27-12-30,20717,155.00,16.51,1.09,1.13,0.90
2015-03-27-13-00,19117,154.00,16.12,1.02,1.11,0.86
2015-03-27-13-30,18360,153.00,16.14,1.06,1.11,0.85
2015-03-27-14-00,17289,148.00,15.80,1.02,1.10,0.84
2015-03-27-14-30,16523,150.00,16.11,1.05,1.11,0.85
2015-03-27-15-00,15854,149.00,16.32,1.00,1.16,0.86
2015-03-27-15-30,15536,148.00,16.01,1.00,1.16,0.86
2015-03-27-16-00,15105,146.00,16.00,1.01,1.14,0.84
2015-03-27-16-30,14520,149.00,16.55,1.02,1.15,0.87
2015-03-27-17-00,14080,151.00,16.61,0.98,1.13,0.85
2015-03-27-17-30,13524,152.00,16.54,0.99,1.14,0.85
2015-03-27-18-00,12740,155.00,17.08,1.03,1.15,0.87
2015-03-27-18-30,12295,155.00,17.04,1.01,1.15,0.87
2015-03-27-19-00,11856,153.00,17.12,1.02,1.14,0.85
2015-03-27-19-30,11536,158.00,17.48,1.07,1.13,0.86
2015-03-27-20-00,10926,161.00,17.37,1.06,1.15,0.87
2015-03-27-20-30,10896,162.00,17.60,1.03,1.13,0.87
2015-03-27-21-00,10254,160.00,17.45,1.10,1.14,0.86
2015-03-27-21-30,10039,160.00,17.58,1.06,1.14,0.86
2015-03-27-22-00,9484,159.00,17.68,1.12,1.14,0.86
2015-03-27-22-30,8780,159.00,18.19,1.01,1.13,0.86
2015-03-27-23-00,7984,160.00,18.16,1.10,1.14,0.86
2015-03-27-23-30,7155,164.00,18.93,1.17,1.15,0.87
2015-03-28-00-00,6182,154.00,17.90,1.11,1.10,0.83
2015-03-28-00-30,5251,163.00,18.59,1.12,1.13,0.85
2015-03-28-01-00,4393,157.00,18.41,1.13,1.10,0.83
2015-03-28-01-30,3830,156.00,17.90,1.16,1.08,0.82
2015-03-28-02-00,3074,161.00,18.74,1.23,1.15,0.83
2015-03-28-02-30,2564,154.00,18.85,1.12,1.08,0.81
2015-03-28-03-00,2031,156.00,17.74,1.18,1.08,0.82
2015-03-28-03-30,1749,159.00,19.08,1.15,1.11,0.81
2015-03-28-04-00,1579,150.00,17.50,1.11,1.05,0.83
2015-03-28-04-30,1468,166.00,19.92,1.25,1.13,0.86
2015-03-28-05-00,1626,160.00,18.58,1.17,1.18,0.87
2015-03-28-05-30,1807,156.00,18.51,1.12,1.19,0.86
2015-03-28-06-00,2432,154.00,18.39,0.97,1.13,0.85
2015-03-28-06-30,3195,161.00,18.90,1.14,1.15,0.88
2015-03-28-07-00,4836,148.00,17.78,1.01,1.14,0.91
2015-03-28-07-30,6882,151.00,18.43,1.06,1.14,0.90
2015-03-28-08-00,8658,157.00,18.17,0.98,1.14,0.91
2015-03-28-08-30,10274,160.00,18.00,1.02,1.14,0.89
2015-03-28-09-00,11745,160.00,17.68,0.99,1.15,0.90
2015-03-28-09-30,12818,161.00,17.94,0.98,1.12,0.89
2015-03-28-10-00,13074,164.00,18.13,1.02,1.13,0.88
2015-03-28-10-30,13933,162.00,18.07,0.96,1.13,0.88
2015-03-28-11-00,14002,165.00,17.85,1.00,1.13,0.87
2015-03-28-11-30,14036,160.00,17.45,1.00,1.12,0.87
2015-03-28-12-00,13497,160.00,17.05,0.97,1.10,0.86
